macro_name,macro_builtin,macro_numparams,macro_description,macro_param1,macro_param2,macro_param3,macro_comment
Abbr,1,2,Displays the abbreviation and a tooltip of the expanded text,Abbreviation,Expanded Text,,
Acronym,1,2,Displays the acronym and a tooltip of the expanded text,Acronym,Expanded Text,,
ActiveSkin,1,12,Switches page skin on-the-fly,"Valid skin name (required),1=Display skin info | 2=Display Macro itself",,,"Only the current page is affected.  Without the macro present, pages will use the system-defined skin"
AddBookmarks,1,12,Adds one or more bookmarks to the page in which the macro is declared,(required) Pagenames separated by spaces,"Cutomised Menu Heading (optional) if present, overrides default heading of 'Page Bookmarks",,
Aggregate,1,1,Displays a number of RSS feeds from other pages,The name of the page containing the <syndicate> macros,,,
AllPageHits,0,0,Displays the total number of visits for all pages in this Wiki,,,,
Anchor,1,11,Places a named anchor link on the page,User-chosen name for the anchor,,,"To link to the anchor, use the syntax PageName#AnchorName. To link to an anchor on the same page, use @this#Anchorname"
BackLink,1,11,Displays a link to the last page visited with the text 'Back',Optional text to display (default=Back),,,
Badge,1,2,Displays a badge. Possible to use it for linking direct to other pages or use hardcoded 'badges' from a text file. NOTE: The Badge macro have complex functionality!,Required,Optional,,Require cAllowFlash=1 - (additional info will be produced before release of OpenWiking --/sEi)
BadLinkList,0,0,Displays a list of all items in the Bad Link List,,,,
br,1,0,Forces a line-break - similar to the HTML tag <br>,,,,
CategoryIndex,1,0,Displays an index of all categorised pages,,,,Pages without an assigned category will not be shown
CategorySearch,1,0,Displays a drop-down list of all configured categories and a search button,,,,If no category is chosen this macro will display all pages that have been assigned a category
CreatePage,1,12,Displays an input editbox which will accept the name of a new page to create,Template name on which to base the new page,Optional page name,,Both parameters will accept @tokens and child sibling syntax
CreateHomePage,1,1,Displays an input editbox which will accept the name of a new page to create,Template name on which to base the new home page,,,The suggested pagename will be HomePages/Username (where Username is the current user alias)
Date,1,0,Displays the current date,,,,
DateTime,1,0,Displays the current date and time,,,,
DeprecatedPages,1,11,Returns number of pages deprecated,Number of days (see comments),,,This is a demonstration macro from myMacros.asp. No Parameter = use OPENWIKI_DAYSTOKEEP. +ve number=Returns pages deprecated more than NumDays days ago. -ve number=Returns pages deprecated in the last NumDays days.
Files,1,1,Displays a local file listing,Local folder to list,,,Will not accept root paths
FirstnameLastName,1,12,"Returns ""My name is"" + Parameter(s)",1st String,2nd String,,This is a demonstration macro from myMacros.asp
